judul,abstrak,kategori
PENGEMBANGAN MULTIMEDIA BERBASIS KOMPUTER UNTUK PEMBELAJARAN MATEMATIKA BAGI SISWA SMA,"Tujuan penelitian ini adalah menghasilkan multimedia berbasis komputer yang layak untuk pembelajaran matematika bagi siswa SMA, ditinjau dari aspek pembelajaran, aspek materi, aspek media dan persentase siswa yang mencapai ketuntasan belajar setelah menggunakan produk multimedia pembelajaran hasil pengembangan. Pengembangan multimedia pembelajaran ini dilakukan melalui tahap analisis, desain, produksi, dan uji coba. Tahap analisis meliputi menganalisis kebutuhan siswa, memilih dan menetapkan materi pokok yang akan dikembangkan, dan mengembangkan alat evaluasi. Tahap desain meliputi pembuatan storyboard dan flowchart. Tahap produksi meliputi pengemasan produk awal ke dalam bentuk CD. Tahap uji coba terdiri atas uji oleh ahli materi dan ahli media, dan uji lapangan meliputi: uji coba satu lawan satu, uji coba kelompok kecil, dan uji coba kelompok besar. Data dari hasil uji coba dikumpulkan menggunakan kuesioner dan tes, dan  dianalisis dengan statistik deskriptif. Hasil uji coba digunakan untuk memperbaiki multimedia pembelajaran. Hasil penelitian menunjukkan bahwa produk multimedia pembelajaran hasil pengembangan termasuk dalam kategori ”sangat baik”. Persentase siswa yang mencapai ketuntasan belajar setelah menggunakan multimedia pembelajaran hasil pengembangan sebanyak 77% dan termasuk dalam kategori ”baik”.",multimedia
Pengembangan Multimedia Pembelajaran Interaktif Untuk Mata Kuliah Organisasi Komputer,"Dalam era Teknologi Informasi penggunaan komputer telah merambah ke segala bidang kehidupan, termasuk dalam dunia pendidikan. Komputer memiliki program-program aplikasi praktis yang dapat dimanfaatkan dan dikembangkan untuk pencapaian tujuan pendidikan. Beberapa orientasi penggunaan komputer dalam dunia pendidikan adalah bagaimana komputer dapat membantu orang untuk belajar, untuk mengajar, dan membantu orang dalam mengelola pendidikan secara umum. Begitu juga dalam pengembangan bahan-bahan atau materi pembelajaran, sebagai alternatif sumber belajar, komputer digunakan untuk mentransfer materi-materi kepada peserta didik atau dalam konteks ini biasa disebut dengan bahan pembelajaran berbasis komputer. Salah satunya adalah pembelajaran mata kuliah Organisasi Komputer. Terkadang mahasiswa kesulitan dalam memahami materi yang memperkenalkan banyaknya jenis-jenis hardware serta pengelompokkannya. Maka perlu dicari metode pembelajaran yang menarik minat mahasiswa untuk lebih tekun mempelajarinya, di antaranya dengan memanfaatkan teknologi komputer. Berdasarkan hal tersebut, pemanfaatan teknologi komputer di bidang pembelajaran berupa CD interaktif dikembangkan atas dasar asumsi bahwa proses komunikasi di dalam pembelajaran akan lebih menarik minat mahasiswa dan memberikan kemudahan untuk memahami materi karena penyajiannya yang interaktif, dengan memanfaatkan berbagai media sebagai sarana penunjang kegiatan pembelajaran. Media interaktif dapat di artikan sebagai kombinasi berbagai unsur media yang terdiri dari teks, grafis, foto, animasi, video, dan suara yang disajikan secara interaktif dalam media pembelajaran.Dari permasalahan tersebut, penulis membuat sebuah media interaktif pembelajaran organisasi komputer menggunakan adobe flash CS3.",multimedia
Multimedia Pembelajaran Matematika Interaktif Berbasis Komputer,"Penelitian ini memiliki dua tujuan yaitu untuk menghasilkan produk berupa media pembelajaran matematika interaktif berbasis komputer pada materi sistem persamaan linear dua variabel dan mengetahui keefektifan produk yang telah dikembangkan. Metodepenelitian inidilakukan dengan menggunakan 7 langkah sebagai tahapan untuk menghasilkan produk yang berpedoman pada model pengembangan Borg and Gall yang dimodifikasi oleh Sugiyono. Berdasarkan analisis data yang diperoleh dari ahli materi dan ahli media dinyatakan bahwa media pembelajaran matematika interaktif berbasis komputer layak untuk digunakan berdasarkan indikator penilaian para ahli validasi yang mana indikator validasi oleh ahli materi yaitu kualitas isi, ketepatan cakupan, kebahasaan dan kelayakan penyajian, sedangkan indikator penilaian dari ahli media mencakup komunikasi visual, kebahasaan, keterlaksanaan, dan rekayasa perangkat lunak. berdasarkan analisis data yang diperoleh dari peserta didik dinyatakan bahwa multimedia pembelajaran interaktis sangat baik. Hal ini berarti multimedia pembelajaran matematika inetraktif berbasis komputer yang telah dikembangkan peneliti dapat digunakan sebagai salah satu sumber belajar siswa/i SMP/MTs kelas VIII.",multimedia
PEMANFAATAN MULTIMEDIA INTERAKTIF BERBASIS KOMPUTER DALAM PEMBELAJARAN,"Guru perlu menggunakan multimedia interaktif berbasis komputer dalam pembelajaran. Multimedia pembelajaran berbasis komputer bermanfaat sebagai alat bantu yang mempermudah guru dan siswa dalam proses pembelajaran sekaligus sebagai strategi untuk mencapai kompetensi pembelajaran yang sudah ditetapkan. Proses pembelajaran dengan bantuan multimedia menjadi lebih interaktif, efektif, efisien, menarik, serta mampu menumbuhkan motivasi belajar siswa. Pembelajaran dengan menggunakan multimedia interaktif menempatkan guru sebagai pendamping atau fasilitator bagi siswa dalam proses pembelajaran. Pembelajaran bukan lagi berpusat pada guru (teacher-centered learning), tetapi  berpusat pada siswa (student-centered learning). Proses pembelajaran dengan bantuan multimedia interaktif berbasis komputer  mendorong  siswa supaya lebih aktif dan kreatif dalam proses pembelajaran. Dengan itu, siswa dapat belajar sesuai dengan kebutuhan dan kemampuan yang dimilikinya.",multimedia
PENGEMBANGAN E-MODUL BERBASIS MODEL PEMBELAJARAN DISCOVERY LEARNING PADA MATA PELAJARAN “SISTEM KOMPUTER” UNTUK SISWA KELAS X MULTIMEDIA SMK NEGERI 3 SINGARAJA,"Penelitian ini bertujuan untuk (1) Untuk menghasilkan rancangan dan mengimplementasikan hasil rancangan e-modul berbasis model pembelajaran discovery learning pada mata pelajaran sistem komputer kelas X multimedia di SMK Negeri 3 Singaraja, (2) Untuk mengetahui respon guru dan siswa terhadap pengembangan e-modul berbasis model pembelajaran discovery learning pada mata pelajaran sistem komputer kelas X multimedia di SMK Negeri 3 Singaraja. Model pembelajaran yang diterapkan dalam pengembangan modul elektronik ini adalah model pembelajaran discovery learning.Jenis penelitian yang digunakan dalam penelitian ini adalah penelitian dan pengembangan (Research and Development) dengan model pengembangan ADDIE. Subjek penelitian ini yaitu siswa kelas X jurusan Multimedia di SMK Negeri 3 Singaraja tahun ajaran 2016/2017. Untuk mengetahui respon guru dan siswa terhadap e-modul sistem komputer diperoleh dengan menggunakan metode angket.Hasil penelitian yang diperoleh terlihat bahwa (1) Hasil rancangan dan implementasi e-modul berbasis model pembelajaran discovery learning yang telah dikembangkan pada mata pelajaran sistem komputer untuk kelas X Multimedia di SMK Negeri 3 Singaraja dinyatakan berhasil diterapkan berdasarkan beberapa uji yang dilakukan. (2) Hasil analisis data respon guru menunjukkan bahwa, didapatkan rata-rata skor respon sebesar 41, jika dikonversikan ke dalam tabel penggolongan respon maka termasuk pada kategori positif. Sedangkan  untuk respon siswa terhadap pengembangan e-modul didapatkan rata-rata skor respon sebesar 64,74, jika dikonversikan ke dalam tabel penggolongan respon siswa termasuk pada kategori positif.",multimedia
Pengembangan Modul Pembelajaran Perakitan Komputer Berbasis Multimedia Interaktif,"Penelitian ini bertujuan untuk mengetahui kelayakan modul pembelajaran perakitan komputer berbasis multimedia interaktif pada siswa kelas X di SMK Negeri 1 Sikur, untuk menguji keefektifan modul pembelajaran perakitan komputer berbasis multimedia interaktif pada siswa kelas X di SMK Negeri 1 Sikur, dan mengetahui respon siswa terhadap modul pembelajaran perakitan komputer berbasis multimedia interaktif pada siswa kelas X di SMK Negeri 1 Sikur. Penelitian ini merupakan penelitian Research and Development dengan model pengembangan ADDIE, yaitu Analisys, Design, Development, Implementation, dan Evaluation. Instrumen penilaian modul pembelajaran berbasis multimedia interaktif berupa angket skala 5. Sumber data penelitian adalah 2 ahli media, 2 ahli materi, dan 30 siswa kelas X SMK Negeri 1 Sikur.Hasil uji kelayakan ahli media dari 2 aspek masuk dalam kategori sangat layak dengan total persentase kelayakan sebesar 84.5%. Dan hasil uji kelayakan dari ahli materi dari 3 aspek masuk dalam kategori sangat layak dengan total persentase kelayakan sebesar 87%. Sedangkan berdasarkan respon siswa kelas X terhadap modul pembelajaran berbasis multimedia interaktif yang dikembangkan adalah layak dengan total persentase sebesar 78%.",multimedia
PENGEMBANGAN MULTIMEDIA TUTORIAL TOPOLOGI JARINGAN UNTUK SMK KELAS X TEKNIK KOMPUTER DAN JARINGAN,"Kurikulum 2013 telah dirancang dan dikembangkan untuk menjawab tantangan zaman. Pada pelaksanaannya seringkali sekolah belum dapat menerapkan secara optimal. Kurangnya media pembelajaran yang memanfaatkan komputer merupakan satu dari beberapa penyebabnya. Ketersediaan fasilitas harusnya dapat dimanfaatkan agar pembelajaran lebih optimal. Penelitian ini memiliki tujuan untuk mengembangkan Multimedia Tutorial Topologi Jaringan yang ditujukan pada kelas X Teknik Komputer dan Jaringan. Metode penelitian yang dipilih pada penelitian ini adalah Research and Development (metode penelitian dan pengembangan) dengan model pengembangan Multimedia Based Instructional Design. Dalam uji validasi AhligMaterigdan Media menilai Multimedia Tutorial Topologi Jaringan layak digunakan untuk pembelajaran. Nilai rata-rata ahliomateripdan media adalah 4,45 dan 4,9 dari rata-rata nilai tertinggi adalah 5. Dalam uji coba Multimedia Tutorial Topologi Jaringan mendapatkangnilai yang cukup baik, dari 24 siswa diperoleh rata-rata keseluruhan jawaban audiens berjumlah 3,2 dari total rata-rata yang jawaban yang diharapkan 4,00. Sehingga diperoleh hasil bahwa multimedia tutorial layak untuk digunakan.",multimedia
PENGEMBANGAN MULTIMEDIA PEMBELAJARAN MATEMATIKA BERBASIS KOMPUTER UNTUK KELAS VIII SMP,"Pengembangan multimedia pembelajaran matematika ini dilakukan melalui enam tahap, yaitu desain  materi, desain software,  produksi, evaluasi, uji coba, dan implementasi. Untuk mengetahui kelayakan multimedia pembelajaran yang dikembangkan dilakukan uji coba lapangan dengan angket. Untuk mengetahui keefektifan produk multimedia yang dikembangkan,  dilakukan dengan memperbandingkan hasil uji kompetensi antara kelas eksperimen dan kelas kontrol. Subjek uji coba dalam penelitian ini berjumlah 36 orang siswa kelas VIII D SMP N 4 Depok Sleman untuk uji coba lapangan pada kelas eksperimen dan 35 orang siswa kelas VIII B SMP N 4 Depok Sleman pada kelas kontrol. Hasil penelitian menunjukkan bahwa produk multimedia pembelajaran hasil pengembangan termasuk dalam kategori “Baik”, persentase siswa yang mencapai ketuntasan belajar setelah menggunakan multimedia pembelajaran hasil pengembangan lebih tinggi 26,51% dari pada pembelajaran konvensional.",multimedia
PENGEMBANGAN MULTIMEDIA TUTORIAL UNTUK GURU DALAM MENGEMBANGKAN SOFTWARE TES BERBASIS KOMPUTER,"Tujuan penelitian ini untuk menghasilkan sebuah produk multimedia tutorial yang layak untuk guru dalam mengembangkan tes berbasis komputer. Penelitian ini menggunakan model Arief S. Sadiman tahun 2010. Pengembangan media meliputi beberapa langkah, yaitu: (1) menganalisis kebutuhan dan karakteristik, (2) merumuskan tujuan instruksional, (3) merumuskan materi secara terperinci, (4) mengembangkan alat pengukur keberhasilan, (5) menulis naskah media, (6) produksi, (7) mengadakan tes (8) dan revisi. Hasil penelitian ini menunjukkan bahwa multimedia tutorial pembuatan tes berbasis komputer dinyatakan valid/layak digunakan oleh guru dalam mempelajari proses pembuatan tes berbasis komputer",multimedia
Media Pembelajaran Pengenalan Komponen Komputer Berbasis Multimedia Dengan Pendekatan Metodologi (R&D),"Multimedia banyak di gunakan untuk berbagai bidang kegiatan diantaranya kegiatan untuk hiburan sampai ke pembelajaran. Dalam upaya memanfaatkan teknologi multimedia yang berkaitan dengan bidang pendidikan dibutuhkan inovasi baru untuk membantu penyampaian informasi dalam proses pembelajaran. Media pembelajaran yaitu media untuk membantu proses penyampaian belajar, yang dibuat untuk membantu manusia mencapai tujuan pembelajaran. Ada kelompok media yang dapat dipakai kedalam pembelajaran di antaranya : media visual, audio, dan multimedia. Teknik pembelajaran yang dikemas dalam aplikasi berbasis multimedia akan mempermudah cara penyampaian informasi kepada pelajar atau karena menarik dan praktis. Penelitian ini betujuan untuk merancang bangun media pembelajaran pengenalan komponen komputer berbasis multimedia, Manfaat dari perancangan aplikasi ini diharapkan mampu mempermudah cara penyampaian informasi tentang komputer dan komponen nya kepada pelajar. Metodologi yang di gunakan dalam pembuatan media pembelajaran ini menggunakan metodelogi Reseach and Development (R&D) dengan beberapa tahapan yaitu analisis, desain., implementasi desain.., pengujian., validasi. Ahli., revisi., uji. kelayakan., memperbaiki media.,. dan. produk. Pada penelitian ini didapatkan hasil berupa aplikasi media pembelajaran pengenalan komponen komputer berbasis multimedia yang dapat dijalankan pada platform dekstop.",multimedia
