judul-jurnal,abstrak-jurnal,kategori
INTEGRATION OF SPECTRAL AND TEXTURAL FEATURES FROM IKONOS IMAGE TO CLASSIFY VEGETATION COVER IN MOUNTAINOUS AREA,Studi ini mengevaluasi penggunaan fitur spektral dan tekstur secara terintegrasi yang didapat dari citra IKONOS untuk mengindentifikasi tipetipe tutupan lahan pertanian di daerah pegunungan Studi meliputi pra pengolahan citra pengembangan metode kuantisasi citra penghitungan nilai tekstur pembuatan dataset dan penilaian akurasi Pra pengolahan citra berfokus pada registrasi citra dan normalisasi topografis Dalam studi ini dikembangkan dua metode kuantisasi citra yaitu segmentasi citra dan filter ratarata Segmentasi citra mengklasifikasi citra kedalam beberapa segmentasi berdasarkan determinasi jumlah total piksel setiap kelas sedangkan filter ratarata mengelompokkan citra berdasarkan ratarata nilai angka dijital dalam ukuran window tertentu Empat ukuran tekstur yaitu inverse difference moment contrast entropy dan energy dihitung dengan grey level cooccurrence matrix GLCM Hasil studi menunjukkan kombinasi aspek spektral dan tekstur meningkatkan akurasi klasifikasi secara signifikan dibandingkan klasifikasi hanya menggunakan fitur spektral saja Segmentasi citra dan filter ratarata dapat memberikan bentukbentuk spasial tipe tutupan lahan pertanian yang lebih efektif dibanding menggunakan citra dengan derajat keabuan Ketelitian keseluruhan meningkat ketika menggunakan integrasi spektral dan fitur tekstur inverse difference moment  dan energy ,0
Integrasi Discrete Wavelet Transform dan Singular Value Decomposition pada Watermarking Citra untuk Perlindungan Hak Cipta,Tren masalah watermarking pada sekarang ini adalah bagaimana mengoptimalkan tradeoff antara imperceptibility visibilitas citra terwatermark terhadap pengaruh distorsi dan robustness terhadap penyisipan watermark Masalah menggunakan kekuatan penyisipan berdasarkan Single Scaling Factor SSF atau Multiple Scaling Factor MSF juga ditemukan Penelitian ini mengusulkan metode penyisipan watermark untuk perlindungan hak cipta pada citra dan algoritma ekstraksi citra terwatermark yang dioptimalkan dengan penggabungan Discrete Wavelet Transform DWT dan Singular Value Decomposition SVD Nilainilai singular dari LL koefisien subband dari citra host dimodifikasi menggunakan nilai tunggal citra watermark biner menggunakan MSFs Kontribusi utama dari skema yang diusulkan adalah aplikasi DWTSVD untuk mengidentifikasi beberapa faktor skala yang optimal Hasil penelitian menunjukkan bahwa skema yang diusulkan menghasilkan nilai Peak Signal to Noise Ratio PSNR yang tinggi yang menunjukkan bahwa kualitas visual gambar yang baik pada masalah citra watermarking telah mengoptimalkan tradeoff Tradeoff antara imperceptibility visibilitas citra terwatermark terhadap pengaruh distorsi dan robustness citra terwatermark terhadap operasi pengolahan citra Nilai PSNR yang didapat pada citra yang diujikan baboon boat cameraman lena man dan pepper sebesar Delapan perlakuan khusus pada hasil citra terwatermark diujikan dan diekstraksi kembali yaitu JPEG Noise Gaussian filter  Sharpening Histogram Equalization Scaling Gray Quantitation bit dan Cropping Hasil dari perlakuan khusus kemudian diukur nilai Normalized CrossCorrelation NC yang menghasilkan ratarata semua citra diperoleh sebesar dari satu Hasil penelitian dari metode yang diusulkan lebih unggul nilai PSNR dan NC dari penelitian sebelumnya Jadi dapat disimpulkan bahwa penerapan dengan metode DWTSVD ini mampu menghasilkan citra yang robust namun memiliki tingkat imperceptibility yang cukup tinggi,0
ANALISIS CITRA GINJAL UNTUK IDENTIFIKASI SEL PIKNOSIS DAN SEL NEKROSIS,Ginjal adalah organ yang mengatur komposisi kimia dari lingkungan dalam melalui suatu proses majemuk yang melibatkan filtrasi absorpsi aktif absorpsi pasif dan sekresi Selain itu ginjal juga mengatur tekanan darah dan volume darah dalam tubuh Seperti halnya hati ginjal juga rawan terhadap zatzat kimia Oleh karena itu zat kimia yang terlalu banyak berada di dalam ginjal diduga akan mengakibatkan kerusakan sel seperti piknosis dan Nekrosis Piknosis atau pengerutan inti merupakan homogenisasi sitoplasma dan peningkatan eosinofil Sedangkan Nekrosis merupakan kematian sel jaringan akibat jejas saat individu masih hidup Pada penelitian di bidang biologi dalam menentukan sil piknosis dan nekrosis umumnya mereka masih mengirangira dan masih menggunakan perhitungan secara manual sehingga data yang dihasilkan memiliki nilai eror yang relatif tinggi karena sangat tipisnya perbedaan dari ciri selsel tersebut dan perbedaan persepsi setiap orang dalam melihat dan menghitung jumlah sel piknosis dan nekrosis Untuk mengatasi hal tersebut diperlukan suatu pemikiran serta inovasi teknologi praktis tepat guna untuk mempermudah dalam penghitungan selsel tersebut Berdasarkan latar belakang tersebut penelitian dilakukan dengan tujuan Mencari nilai threshold yang tepat untuk identifikasi sel piknosis dan nekrosis Mencari ketepatan program aplikasi yang digunakan dalam penghitungan jumlah sel,0
Pengenalan Tingkat Kematangan Buah Pepaya Paya Rabo Menggunakan Pengolahan Citra Berdasarkan Warna RGB Dengan  K- Means Clustering,Proses identifikasi buahbuahan secara tradisional mengalami banyak kendala akibat sifat manusia yang mempunyai kelemahan yang menyebabkan hasil yang diinginkan tidak efektif Kemajuan teknologi komputer telah menyentuh dunia pertanian dari segi sebelum panen maupun pasca panen Di sini timbul permasalahan bagaimana mengenali buah sehingga sesuai dengan kondisi nyata Kondisi buah pepaya ditentukan oleh tingkat kematangan yang dilihat dari sisi warna pepaya Klasifikasi yang lakukan oleh petani biasanya mengelompokkan pepaya dalam katagori muda mengkal dan masak penuh Metode pengolahan citra mempunyai kemampuan untuk menganalisa kondisi kematangan pepaya dengan menggunakan nilai Red Green Blue RGB sebagai acuan Penentuan klasifikasi dengan metode Kmeans clustering yang menggunakan selisih jarak eucludian sebagai acuannya Untuk hasil pada kelompok pepaya muda berhasil dikenali sebagai pepaya muda kelompok pepaya mengkal berhasil dikenali sebagai masak mengkal sedangkan pada kelompok pepaya penuh dikenali sebagai masak penuh Sehingga dapat disimpulkan metode Kmeans Clustering hampir sama dengan proses klasifikasi oleh petani yang sudah berpengalaman bertahun tahun,0
METODE EKSTRAKSI CIRI 2DPCA PADA PENGENALAN CITRA WAJAH DENGAN MATLAB,Penelitian mengenai pengenalan wajah telah banyak dilakukan dan dengan berbagai metode Namun penelitian ini masih menarik dilakukan seiring perkembangan teknologi dan metode yang digunakan dalam pengolahan citra Metode ekstraksi ciri pada pengenalan wajahpun cukup banyak yaitu dengan mengidentifikasi citra wajah secara spesifik dengan menggunakan karakteristik terukur Pada penelitian ini peneliti menggunakan ekstraksi ciri Dimensional Principal Component Analysis DPCA dan menggunakan aplikasi Matlab Data diambil terlebih dahulu dari digital image kemudian dilakukan cropping untuk mendapatnya citra wajah Proses selanjutnya citra wajah dibaca sebagai matrik dan dibuat berukuran sama  pixel kemudian dilakukan konversi ke bentuk grayscale Setelah ekstraksi ciri DPCA dilakukan pengujian citra wajah dilakukan dengan metode jarak euclid Metode euclid adalah metode dengan membandingkan jarak citra pengujian dengan basis data citra pelatihan yang memiliki jarak minimal Pengelompokan data latih dan data uji menggunakan fold cross validation Hasil akurasi yang diperoleh saat dilakukan percobaan pada wajah dengan prosentase nilai eigen dan hasilnya mencapai ratarata diatas,0
PENENTUAN WILAYAH WAJAH MANUSIA PADA CITRA BERWARNA BERDASARKAN WARNA KULIT DENGAN METODE TEMPLATE MATCHING,Penentuan wilayah wajah dalam citra digital telah mengalami perkembangan yang sangat berarti dalam dekade terakhir ini dengan penerapannya pada berbagai bidang misalnya dalam hal penyidikan dan sampai dengan sekarang ini terus dilakukan penelitian ilmiah atas penentuan wilayah wajah ini Meskipun penentuan wilayah wajah sangat mudah dikenali dengan penglihatan manusia tetapi automatisasi pengolahan pada komputer memerlukan berbagai macam teknik pengolahan citra,0
Pengolahan Citra Digital Untuk Menghitung Luas Daerah Bekas Penambangan Timah,Kehadiran teknologi pengolahan citra memberikan kemajuan yang luar biasa pada berbagai bidang termasuk pemanfaatan citra satelit Melalui berbagai tahapan pengolahan dapat diperoleh informasi yang diinginkan tentang fitur tertentu dari sebuah citra digital antara lain luas atau ukuran objek Di Provinsi Kepulauan Bangka Belitung banyak terdapat daerah penambangan timah Dalam penelitian ini dilakukan pengolahan citra digital dari suatu wilayah tertentu di Provinsi Kepulauan Bangka Belitung yang memiliki daerah bekas penambangan timah untuk dapat diketahui luasnya Penelitian dimulai dengan survei lapangan untuk memperoleh data berupa koordinat serta ukuran panjang dan lebar daerah bekas penambangan timah Koordinat tersebut digunakan untuk memperoleh citra satelit dari daerah bekas penambangan timah Selanjutnya citra satelit berupa citra warna RGB diubah menjadi citra grayscale Citra grayscale kemudian diperbaiki melalui proses perenggangan kontras lalu diubah menjadi citra biner Operasi morfologi yaitu erosi dan dilasi diterapkan pada citra biner tersebut sehingga dapat dihitung jumlah piksel objek daerah bekas penambangan timah di dalam citra Ukuran sebenarnya panjang dan lebar daerah bekas penambangan timah digunakan untuk mengetahui nilai skala yang diperlukan guna menghitung luas objek citra daerah bekas penambangan timah dalam satuan ,0
PERANCANGAN APLIKASI SEGMENTASI CITRA DIGITAL MENGUNAKAN METODE QUAD-TREE PARTITONING APPROACH,Citra merupakan representasi atau gambaran dari suatu objek Pada citra digital tampilan citra terkadang tidak sesuai dengan yang diharapkan dikarenakan adanya gangguan atau noise Hal itu mungkin dikarenakan adanya pengolahan citra yang menyebabkan tereduksinya citra aslinya khususnya dalam ketajaman tampilan dari suatu citra merupakan reduksi dari pengolahan citra yang dapat terjadiUntuk mengatasi hal tersebut diperlukan pengolahan citra digital dalam menajamkan tampilan citra tersebut Skripsi ini dibuat guna mengatasi efek kabur dari citra tersebut Dengan menggunakan metode Quadtree Partitonig Approach citra kabur tersebut akan disharpening menggunakan matriks berukuran  yang akan Quadtree Partitonig Approach pada setiap piksel yang terkandung didalam citra tersebut Dengan adanya program ini maka mempermudah seseorang dalam mengolah gambar yang kabur menjadi lebih tajam program ini nantinya akan memiliki tampilan yang mudah di pahami oleh pengguna Sehingga bertujuan untuk membandingkan beberapa Quadtree Partitonig Approach yang digunakan untuk mempertajaml memperjelas citra yang semuIa buram dan mengimplementasikan metode Quadtree Partitonig Approach dalam operasi penajaman citra,0
PROTOTYPE APLIKASI UNTUK MENGUKUR KEMATANGAN BUAH APEL BERDASAR KEMIRIPAN WARNA,Industri pengolahan hasil pertanian dan perkebunan sangat berkembang pesat Salahsatu tahap dalam proses pengolahan hasil perkebunan adalah pemilahan produk berdasar kualitasnya misalnya tingkat kematangan buah Proses pemilahan produk hasil pertanian dan perkebunan umumnya sangat bergantung pada persepsi manusia terhadap faktor komposisi warna yang dimiliki citra buahbuahan,0
APLIKASI PENDETEKSI TANDA AIR PADA UANG KERTAS DENGAN METODE SEGMENTASI REGION BASED ACTIVE CONTOUR MENGGUNAKAN MATLAB,Pengolahan citra digital saat ini telah berkembang kegunaannya untuk melakukan sistem pengenalan terhadap kemungkinan gangguan kriminalitas terutama untuk pengenalan objek yang unik seperti tanda air pada uang rupiah Cukup banyak metode pengolahan citra yang dapat mendeteksi tanda air pada uang kertas contohnya segmentasi citra Segmentasi citra merupakan tahapan penting dalam proses pengenalan pola Segmentasi citra bertujuan untuk memisahkan antara objek foreground dengan background pada umumnya keluaran hasil segmentasi citra adalah berupa citra biner Dalam segmentasi citra juga terdapat beberapa metode contohnya yaitu region segmentation yang berbasis active contour Active contour menggunakan kurva tertutup untuk mendeteksi objek setelah itu kurva bergerak melebar atau menyempit terhadap objek Sehingga dalam Tugas Akhir ini penulis bermaksud membuat sebuah aplikasi untuk mendeteksi tanda air pada citra uang kertas dengan menggunakan metode segmentasi citra region based active contour Aplikasi ini berhasil dibuat dengan menggunakan Matlab versi Ra,0
