,judul-jurnal,abstrak-jurnal,kategori
0,integration spectral textural features ikonos image classify vegetation cover mountainous area,studi evaluasi guna fitur spektral tekstur integrasi citra ikonos mengindentifikasi tipetipe tutup lahan tani daerah gunung studi liput pra olah citra kembang metode kuantisasi citra hitung nilai tekstur buat dataset nilai akurasi pra olah citra fokus registrasi citra normalisasi topografis studi kembang metode kuantisasi citra segmentasi citra filter ratarata segmentasi citra klasifikasi citra dalam segmentasi dasar determinasi total piksel kelas filter ratarata kelompok citra dasar ratarata nilai angka dijital ukur window ukur tekstur inverse difference moment contrast entropy energy hitung grey level cooccurrence matrix glcm hasil studi kombinasi aspek spektral tekstur tingkat akurasi klasifikasi signifikan banding klasifikasi fitur spektral segmentasi citra filter ratarata bentukbentuk spasial tipe tutup lahan tani efektif banding citra derajat abu teliti tingkat integrasi spektral fitur tekstur inverse difference moment energy,pengolahan citra
1,integrasi discrete wavelet transform singular value decomposition watermarking citra lindung hak cipta,tren watermarking optimal tradeoff imperceptibility visibilitas citra watermark pengaruh distorsi robustness sisip watermark kuat sisip dasar single scaling factor ssf multiple scaling factor msf temu teliti usul metode sisip watermark lindung hak cipta citra algoritma ekstraksi citra watermark optimal gabung discrete wavelet transform dwt singular value decomposition svd nilainilai singular koefisien subband citra host modifikasi nilai tunggal citra watermark biner msfs kontribusi utama skema usul aplikasi dwtsvd identifikasi faktor skala optimal hasil teliti skema usul hasil nilai peak signal noise ratio psnr kualitas visual gambar citra watermarking optimal tradeoff tradeoff imperceptibility visibilitas citra watermark pengaruh distorsi robustness citra watermark operasi olah citra nilai psnr citra uji baboon boat cameraman lena man pepper delapan laku khusus hasil citra watermark uji ekstraksi jpeg noise gaussian filter sharpening histogram equalization scaling gray quantitation bit cropping hasil laku khusus ukur nilai normalized crosscorrelation nc hasil ratarata citra oleh hasil teliti metode usul unggul nilai psnr nc teliti simpul terap metode dwtsvd hasil citra robust milik tingkat imperceptibility,pengolahan citra
2,analisis citra ginjal identifikasi sel piknosis sel nekrosis,ginjal organ atur komposisi kimia lingkung proses majemuk libat filtrasi absorpsi aktif absorpsi pasif sekresi ginjal atur tekan darah volume darah tubuh hal hati ginjal rawan zatzat kimia zat kimia ginjal duga akibat rusa sel piknosis nekrosis piknosis kerut inti homogen sitoplasma tingkat eosinofil nekrosis mati sel jaring akibat jejas individu hidup teliti bidang biologi tentu sil piknosis nekrosis mengirangira hitung manual data hasil milik nilai eror relatif tipis beda ciri selsel beda persepsi orang hitung sel piknosis nekrosis atas pikir inovasi teknologi praktis mudah hitung selsel dasar latar teliti tuju cari nilai threshold identifikasi sel piknosis nekrosis cari tepat program aplikasi hitung sel,pengolahan citra
3,kenal tingkat matang buah pepaya paya rabo olah citra dasar warna rgb means clustering,proses identifikasi buahbuahan tradisional alami kendala akibat sifat manusia lemah sebab hasil efektif maju teknologi komputer sentuh dunia tani segi panen pasca panen timbul masalah nali buah sesuai kondisi nyata kondisi buah pepaya tentu tingkat matang sisi warna pepaya klasifikasi laku tani kelompok pepaya katagori muda mengkal masak penuh metode olah citra mampu menganalisa kondisi matang pepaya nilai red green blue rgb acu tentu klasifikasi metode kmeans clustering selisih jarak eucludian acu hasil kelompok pepaya muda hasil nali pepaya muda kelompok pepaya mengkal hasil nali masak mengkal kelompok pepaya penuh nali masak penuh simpul metode kmeans clustering proses klasifikasi tani alam tahun,pengolahan citra
4,metode ekstraksi ciri dpca kenal citra wajah matlab,teliti kenal wajah metode teliti tarik iring kembang teknologi metode olah citra metode ekstraksi ciri kenal wajah identifikasi citra wajah spesifik karakteristik ukur teliti teliti ekstraksi ciri dimensional principal component analysis dpca aplikasi matlab data ambil digital image cropping dapat citra wajah proses citra wajah baca matrik ukur pixel konversi bentuk grayscale ekstraksi ciri dpca uji citra wajah metode jarak euclid metode euclid metode banding jarak citra uji basis data citra latih milik jarak minimal kelompok data latih data uji fold cross validation hasil akurasi oleh coba wajah prosentase nilai eigen hasil capai ratarata atas,pengolahan citra
5,tentu wilayah wajah manusia citra warna dasar warna kulit metode template matching,tentu wilayah wajah citra digital alami kembang dekade terap bidang sidi teliti ilmiah tentu wilayah wajah tentu wilayah wajah mudah nali lihat manusia automatisasi olah komputer teknik olah citra,pengolahan citra
6,olah citra digital hitung luas daerah bekas tambang timah,hadir teknologi olah citra maju bidang manfaat citra satelit tahap olah oleh informasi fitur citra digital luas ukur objek provinsi pulau bangka belitung daerah tambang timah teliti olah citra digital wilayah provinsi pulau bangka belitung milik daerah bekas tambang timah luas teliti survei lapang oleh data koordinat ukur lebar daerah bekas tambang timah koordinat oleh citra satelit daerah bekas tambang timah citra satelit citra warna rgb ubah citra grayscale citra grayscale baik proses enggang kontras ubah citra biner operasi morfologi erosi dilasi terap citra biner hitung piksel objek daerah bekas tambang timah citra ukur lebar daerah bekas tambang timah nilai skala hitung luas objek citra daerah bekas tambang timah satu,pengolahan citra
7,ancang aplikasi segmentasi citra digital mengunakan metode quadtree partitoning approach,citra representasi gambar objek citra digital tampil citra terkadang sesuai harap ganggu noise olah citra sebab reduksi citra asli tajam tampil citra reduksi olah citra terjadiuntuk atas olah citra digital najam tampil citra skripsi atas efek kabur citra metode quadtree partitonig approach citra kabur disharpening matriks ukur quadtree partitonig approach piksel kandung dalam citra program mudah olah gambar kabur tajam program milik tampil mudah paham guna tuju banding quadtree partitonig approach mempertajaml jelas citra semuia buram implementasi metode quadtree partitonig approach operasi najam citra,pengolahan citra
8,prototype aplikasi ukur matang buah apel dasar mirip warna,industri olah hasil tani kebun kembang pesat salahsatu tahap proses olah hasil kebun pilah produk dasar kualitas tingkat matang buah proses pilah produk hasil tani kebun gantung persepsi manusia faktor komposisi warna milik citra buahbuahan,pengolahan citra
9,aplikasi deteksi tanda air uang kertas metode segmentasi region based active contour matlab,olah citra digital kembang guna sistem kenal ganggu kriminalitas kenal objek unik tanda air uang rupiah metode olah citra deteksi tanda air uang kertas contoh segmentasi citra segmentasi citra tahap proses kenal pola segmentasi citra tuju pisah objek foreground background keluar hasil segmentasi citra citra biner segmentasi citra metode contoh region segmentation bas active contour active contour kurva tutup deteksi objek kurva gerak lebar sempit objek tugas tulis aplikasi deteksi tanda air citra uang kertas metode segmentasi citra region based active contour aplikasi hasil matlab versi ra,pengolahan citra
