judul-jurnal,nama-jurnal,abstrak-jurnal,kategori
INTEGRATION OF SPECTRAL AND TEXTURAL FEATURES FROM IKONOS IMAGE TO CLASSIFY VEGETATION COVER IN MOUNTAINOUS AREA,Jp Kehutanan gg 2006," Studi ini
mengevaluasi penggunaan fitur spektral dan tekstur secara terintegrasi yang didapat
dari citra IKONOS untuk mengindentifikasi tipe-tipe tutupan lahan pertanian di
daerah pegunungan. Studi meliputi pra pengolahan citra, pengembangan metode
kuantisasi citra, penghitungan nilai tekstur, pembuatan dataset dan penilaian
akurasi. Pra pengolahan citra berfokus pada registrasi citra dan normalisasi
topografis. Dalam studi ini dikembangkan dua metode kuantisasi citra yaitu
segmentasi  citra dan filter rata-rata.
Segmentasi citra mengklasifikasi citra kedalam beberapa segmentasi berdasarkan
determinasi jumlah total piksel setiap kelas, sedangkan filter rata-rata
mengelompokkan citra berdasarkan rata-rata nilai angka dijital dalam ukuran window
tertentu. Empat ukuran tekstur yaitu inverse difference moment, contrast,
entropy dan energy dihitung dengan grey level co-occurrence matrix (GLCM).
Hasil studi menunjukkan kombinasi aspek spektral dan tekstur meningkatkan
akurasi klasifikasi secara signifikan dibandingkan klasifikasi hanya
menggunakan fitur spektral saja. Segmentasi citra dan filter rata-rata dapat
memberikan bentuk-bentuk spasial  tipe
tutupan lahan pertanian yang lebih efektif dibanding menggunakan citra dengan
derajat keabuan  256. Ketelitian
keseluruhan meningkat 11,33% ketika menggunakan integrasi spektral dan fitur
tekstur inverse difference moment (5x5) dan energy (9x9).",pengolahan citra
Integrasi Discrete Wavelet Transform dan Singular Value Decomposition pada Watermarking Citra untuk Perlindungan Hak Cipta,Jp Teknik Komputer dd 2015," Tren masalah
watermarking pada sekarang ini adalah bagaimana 
mengoptimalkan  trade-off  antara 
imperceptibility (visibilitas) citra ter-watermark terhadap pengaruh
distorsi dan robustness  terhadap  penyisipan 
watermark.  Masalah menggunakan
kekuatan penyisipan berdasarkan Single Scaling Factor  (SSF) 
atau  Multiple  Scaling 
Factor  (MSF)  juga ditemukan.  Penelitian 
ini  mengusulkan  metode 
penyisipan watermark  untuk  perlindungan 
hak  cipta  pada 
citra  dan algoritma  ekstraksi 
citra  ter-watermark  yang 
dioptimalkan dengan penggabungan Discrete Wavelet Transform (DWT) dan Singular
Value Decomposition (SVD). Nilai-nilai singular dari LL3  koefisien 
sub-band  dari  citra 
host  dimodifikasi menggunakan  nilai 
tunggal  citra  watermark 
biner menggunakan  MSFs.  Kontribusi 
utama  dari  skema 
yang diusulkan  adalah  aplikasi 
DWT-SVD  untuk  mengidentifikasi beberapa  faktor 
skala  yang  optimal. 
Hasil  penelitian menunjukkan
bahwa skema yang diusulkan menghasilkan nilai Peak  Signal 
to  Noise  Ratio 
(PSNR)  yang  tinggi, 
yang menunjukkan  bahwa  kualitas 
visual  gambar  yang 
baik  pada masalah  citra 
watermarking  telah  mengoptimalkan  trade-off. Trade-off  antara 
imperceptibility 
(visibilitas)  citra  ter-watermark terhadap pengaruh distorsi dan
robustness citra ter-watermark terhadap operasi pengolahan citra. Nilai PSNR
yang didapat  pada  citra 
yang  diujikan:  baboon=53,184; boat=53,328; cameraman=53,700;
lena=53,668; man=53,328; dan  pepper  sebesar 
52,662.    Delapan  perlakuan 
khusus  pada hasil  citra 
ter-watermark  diujikan  dan 
diekstraksi  kembali yaitu  JPEG 
5%,  Noise  5%, 
Gaussian  filter  3x3, 
Sharpening, Histogram Equalization, Scaling 512-256, Gray Quantitation 1bit,
dan Cropping 1/8. Hasil dari perlakuan khusus kemudian diukur  nilai 
Normalized  Cross-Correlation  (NC) 
yang menghasilkan  rata-rata  semua 
citra  diperoleh  sebesar 
0,999 dari  satu.  Hasil 
penelitian  dari  metode 
yang  diusulkan  lebih unggul 
nilai  PSNR  dan 
NC  dari  penelitian 
sebelumnya.  Jadi dapat  disimpulkan 
bahwa  penerapan  dengan 
metode  DWT-SVD  ini 
mampu  menghasilkan  citra 
yang  robust  namun memiliki tingkat imperceptibility yang
cukup tinggi.",pengolahan citra
ANALISIS CITRA GINJAL UNTUK IDENTIFIKASI SEL PIKNOSIS DAN SEL NEKROSIS,Jp Fisika dd 2011," Ginjal adalah organ
yang mengatur komposisi kimia dari lingkungan dalam, melalui suatu proses
majemuk yang melibatkan filtrasi, absorpsi aktif, absorpsi pasif dan sekresi.
Selain itu ginjal juga mengatur tekanan darah dan volume darah dalam tubuh.
Seperti halnya hati, ginjal juga rawan terhadap zat-zat kimia. Oleh karena itu,
zat kimia yang terlalu banyak berada di dalam ginjal diduga akan mengakibatkan
kerusakan sel, seperti piknosis dan Nekrosis. Piknosis atau pengerutan inti
merupakan homogenisasi sitoplasma dan peningkatan eosinofil. Sedangkan Nekrosis
merupakan kematian sel jaringan akibat jejas saat individu masih hidup. Pada
penelitian di bidang biologi, dalam menentukan sil piknosis dan nekrosis
umumnya mereka masih mengira-ngira dan masih menggunakan perhitungan secara
manual sehingga data yang dihasilkan memiliki nilai eror yang relatif tinggi,
karena sangat tipisnya perbedaan dari ciri sel-sel tersebut dan perbedaan
persepsi setiap orang dalam melihat dan menghitung jumlah sel piknosis dan
nekrosis. Untuk mengatasi hal tersebut diperlukan suatu pemikiran serta inovasi
teknologi praktis tepat guna untuk mempermudah dalam penghitungan sel-sel
tersebut. Berdasarkan latar belakang tersebut penelitian dilakukan dengan
tujuan: (1) Mencari nilai threshold yang tepat untuk identifikasi sel piknosis
dan nekrosis. (2) Mencari ketepatan program aplikasi yang digunakan dalam
penghitungan jumlah sel.",pengolahan citra
Pengenalan Tingkat Kematangan Buah Pepaya Paya Rabo Menggunakan Pengolahan Citra Berdasarkan Warna RGB Dengan  K- Means Clustering,Jp Teknik Komputer dd 2013," Proses  identifikasi 
buah-buahan  secara  tradisional 
mengalami  banyak  kendala 
akibat  sifat  manusia 
yang  mempunyai kelemahan  yang 
menyebabkan hasil yang diinginkan tidak efektif. Kemajuan  teknologi komputer telah menyentuh dunia pertanian
dari segi sebelum panen maupun pasca panen. 
Di  sini timbul permasalahan
bagaimana mengenali buah sehingga sesuai dengan kondisi nyata. Kondisi buah
pepaya ditentukan oleh tingkat kematangan yang dilihat dari sisi warna pepaya. Klasifikasi
yang lakukan oleh petani biasanya mengelompokkan pepaya dalam katagori muda,
mengkal, dan masak penuh. Metode pengolahan citra mempunyai kemampuan untuk
menganalisa kondisi  kematangan
pepaya  dengan menggunakan nilai  Red, 
Green,  Blue  (RGB) 
sebagai  acuan.  Penentuan 
klasifikasi  dengan  metode 
K-means  clustering  yang menggunakan selisih jarak  eucludian 
sebagai acuannya.  Untuk
hasil  pada kelompok  pepaya muda 
60%  berhasil  dikenali sebagai  pepaya 
muda,  kelompok  pepaya 
mengkal  90%  berhasil 
dikenali  sebagai  masak 
mengkal  sedangkan  pada kelompok 
pepaya  penuh 100 % dikenali  sebagai 
masak  penuh.  Sehingga dapat disimpulkan metode K-means
Clustering hampir sama dengan proses klasifikasi oleh petani yang sudah
berpengalaman bertahun tahun.",pengolahan citra
METODE EKSTRAKSI CIRI 2DPCA PADA PENGENALAN CITRA WAJAH DENGAN MATLAB,Jp Teknik Informatika dd 2014," Penelitian  mengenai 
pengenalan  wajah  telah 
banyak  dilakukan  dan 
dengan  berbagai  metode. Namun 
penelitian  ini  masih 
menarik  dilakukan  seiring 
perkembangan  teknologi  dan 
metode  yang digunakan  dalam 
pengolahan  citra.  Metode 
ekstraksi  ciri  pada 
pengenalan  wajahpun  cukup banyak 
yaitu  dengan  mengidentifikasi  citra 
wajah  secara  spesifik 
dengan  menggunakan karakteristik  terukur. 
Pada  penelitian  ini 
peneliti  menggunakan  ekstraksi 
ciri  2  Dimensional Principal  Component 
Analysis  (2DPCA)  dan 
menggunakan  aplikasi  Matlab. 
Data  diambil  terlebih dahulu  dari 
digital  image  kemudian 
dilakukan  cropping  untuk 
mendapatnya  citra  wajah. 
Proses selanjutnya citra wajah dibaca sebagai matrik dan dibuat
berukuran sama 112x96 pixel, kemudian dilakukan 
konversi  ke  bentuk 
grayscale.  Setelah  ekstraksi 
ciri  2DPCA  dilakukan 
pengujian  citra wajah  dilakukan 
dengan  metode  jarak 
euclid.  Metode  euclid 
adalah  metode  dengan membandingkan  jarak 
citra  pengujian  dengan 
basis  data  citra 
pelatihan  yang  memiliki 
jarak minimal. Pengelompokan data latih dan data uji menggunakan 5 fold
cross validation. Hasil akurasi yang diperoleh saat dilakukan percobaan pada 10
wajah dengan prosentase nilai eigen 80%, 85%, 90%  dan 95% , hasilnya mencapai rata-rata diatas
96,5%.",pengolahan citra
PENENTUAN WILAYAH WAJAH MANUSIA PADA CITRA BERWARNA BERDASARKAN WARNA KULIT DENGAN METODE TEMPLATE MATCHING,Jp Teknik Listrik dan Mekatronika dd 2006," Penentuan wilayah
wajah dalam citra digital telah mengalami perkembangan yang sangat berarti
dalam dekade terakhir ini, dengan penerapannya pada berbagai bidang, misalnya
dalam hal penyidikan, dan sampai dengan sekarang ini terus dilakukan penelitian
ilmiah atas penentuan wilayah wajah ini. Meskipun penentuan wilayah wajah sangat
mudah dikenali dengan penglihatan manusia, tetapi automatisasi pengolahan pada
komputer memerlukan berbagai macam teknik pengolahan citra.",pengolahan citra
Pengolahan Citra Digital Untuk Menghitung Luas Daerah Bekas Penambangan Timah,Jp Teknik Listrik dan Mekatronika dd 2013," Kehadiran teknologi
pengolahan citra memberikan kemajuan yang luar biasa pada berbagai bidang
termasuk pemanfaatan citra satelit. Melalui berbagai tahapan pengolahan, dapat
diperoleh informasi yang diinginkan tentang fitur tertentu dari sebuah citra
digital antara lain luas atau ukuran objek. Di Provinsi Kepulauan Bangka
Belitung, banyak terdapat daerah penambangan timah. Dalam penelitian ini,
dilakukan pengolahan citra digital dari suatu wilayah tertentu di Provinsi
Kepulauan Bangka Belitung yang memiliki daerah bekas penambangan timah untuk
dapat diketahui luasnya. Penelitian dimulai dengan survei lapangan untuk
memperoleh data berupa koordinat serta ukuran (panjang dan lebar) daerah bekas
penambangan timah. Koordinat tersebut digunakan untuk memperoleh citra satelit
dari daerah bekas penambangan timah. Selanjutnya, citra satelit berupa citra
warna (RGB) diubah menjadi citra grayscale. Citra grayscale kemudian diperbaiki
melalui proses perenggangan kontras, lalu diubah menjadi citra biner. Operasi
morfologi yaitu erosi dan dilasi diterapkan pada citra biner tersebut sehingga
dapat dihitung jumlah piksel objek (daerah bekas penambangan timah) di dalam
citra. Ukuran sebenarnya (panjang dan lebar) daerah bekas penambangan timah
digunakan untuk mengetahui nilai skala yang diperlukan guna menghitung luas
objek citra (daerah bekas penambangan timah) dalam satuan m2.",pengolahan citra
PERANCANGAN APLIKASI SEGMENTASI CITRA DIGITAL MENGUNAKAN METODE QUAD-TREE PARTITONING APPROACH,Jp Teknik Informatika dd 2015," Citra merupakan
representasi atau gambaran dari suatu objek. Pada citra digital tampilan citra
terkadang tidak  sesuai  dengan 
yang  diharapkan,  dikarenakan 
adanya  gangguan  atau 
noise.  Hal  itu 
mungkin  dikarenakan adanya  pengolahan 
citra  yang  menyebabkan 
tereduksinya  citra  aslinya, 
khususnya  dalam  ketajaman 
tampilan dari  suatu  citra. 
merupakan  reduksi  dari 
pengolahan  citra  yang 
dapat  terjadi.Untuk  mengatasi 
hal  tersebut diperlukan
pengolahan citra digital dalam menajamkan tampilan citra tersebut. Skripsi ini
dibuat guna mengatasi efek kabur dari citra tersebut. Dengan menggunakan metode
Quadtree Partitonig Approach, citra kabur tersebut akan  disharpening 
menggunakan  matriks  berukuran 
3  x  3  yang
akan  Quadtree Partitonig  Approach 
pada setiap piksel  yang  terkandung 
didalam  citra  tersebut.   
Dengan    adanya  program 
ini  maka  mempermudah 
seseorang dalam  mengolah  gambar 
yang  kabur  menjadi 
lebih  tajam,  program 
ini  nantinya  akan 
memiliki  tampilan  yang mudah 
di  pahami  oleh 
pengguna.  Sehingga  bertujuan 
untuk  membandingkan  beberapa 
Quadtree  Partitonig Approach  yang 
digunakan  untuk  mempertajaml 
memperjelas  citra  yang 
semuIa  buram  dan mengimplementasikan metode Quadtree
Partitonig Approach dalam operasi penajaman citra.",pengolahan citra
PROTOTYPE APLIKASI UNTUK MENGUKUR KEMATANGAN BUAH APEL BERDASAR KEMIRIPAN WARNA,Jp Teknik Informatika dd 2010," Industri pengolahan
hasil pertanian dan perkebunan sangat berkembang pesat. Salahsatu tahap dalam
proses pengolahan hasil perkebunan adalah pemilahan produk berdasar kualitasnya
(misalnya tingkat kematangan buah). Proses pemilahan produk hasil pertanian dan
perkebunan umumnya sangat bergantung pada persepsi manusia terhadap faktor
komposisi warna yang dimiliki citra (buah-buahan).",pengolahan citra
APLIKASI PENDETEKSI TANDA AIR PADA UANG KERTAS DENGAN METODE SEGMENTASI REGION BASED ACTIVE CONTOUR MENGGUNAKAN MATLAB,Jp Teknik Informatika dd 2016," Pengolahan citra
digital saat ini telah berkembang kegunaannya untuk melakukan sistem pengenalan
terhadap kemungkinan gangguan kriminalitas, terutama untuk pengenalan objek yang
unik, seperti tanda air pada uang rupiah. Cukup banyak metode pengolahan citra
yang dapat mendeteksi tanda air pada uang kertas, contohnya segmentasi citra.
Segmentasi citra merupakan tahapan penting dalam proses pengenalan pola.
Segmentasi citra bertujuan untuk memisahkan antara objek (foreground) dengan
background, pada umumnya keluaran hasil  segmentasi
citra adalah berupa citra biner. Dalam segmentasi citra juga terdapat beberapa metode,
contohnya yaitu region segmentation yang berbasis active contour. Active
contour menggunakan kurva tertutup untuk mendeteksi objek, setelah itu kurva
bergerak melebar atau menyempit terhadap objek. Sehingga dalam Tugas Akhir ini,
penulis bermaksud membuat sebuah aplikasi untuk mendeteksi tanda air pada citra
uang kertas dengan menggunakan metode segmentasi citra region based active
contour. Aplikasi ini berhasil dibuat dengan menggunakan Matlab versi R2013a.",pengolahan citra
